,datasets,n_nodes,models,obj_val,runtime,mip_gap
0,br17,17,F3,720.0,4.8100128173828125,0.0
1,br17,17,F4,719.9999729900027,4.918996810913086,0.0
2,br17,17,F5,657.0,1.5540008544921875,0.0
3,gr24,24,F3,5132.499987374747,33.20900917053223,0.0
4,gr24,24,F4,5132.49994429281,39.53399658203125,0.0
5,gr24,24,F5,4726.0,3.4109973907470703,0.0
6,ftv33,33,F3,6229.0,3600.0727558135986,0.028174666880719217
7,ftv33,33,F4,6229.0,3600.0702381134033,0.028856959383528655
8,ftv33,33,F5,5470.5,11.737998962402344,0.0
9,ftv38,38,F3,7260.999858000655,3600.0799350738525,0.008435457815519137
10,ftv38,38,F4,7261.0,2955.6472396850586,0.0
11,ftv38,38,F5,6653.0,16.880023956298828,0.0
12,ftv44,44,F3,8232.0,3600.148181915283,0.028182701652089408
13,ftv44,44,F4,8292.0,3600.209415435791,0.03973709599614086
14,ftv44,44,F5,7541.0,26.877010345458984,0.0
15,hk48,48,F3,45547.5,3600.0902404785156,0.04917942806959767
16,hk48,48,F4,45908.0,3600.0952320098877,0.06738936942784125
17,hk48,48,F5,39110.5,43.319183349609375,0.0
18,berlin52,52,F3,30472.190211258618,3600.087854385376,0.04862943754695898
19,berlin52,52,F4,30269.749391093646,3600.0654735565186,0.05088162909612102
20,berlin52,52,F5,25576.26013882131,38.0309944152832,0.0
21,brazil58,58,F3,119362.5,3600.0709953308105,0.04125178659939202
22,brazil58,58,F4,119362.5,3600.062997817993,0.05191075707679854
23,brazil58,58,F5,93035.0,83.67999649047852,0.0
24,ftv64,64,F3,11069.249894288192,3600.0739974975586,0.02676332155452187
25,ftv64,64,F4,11077.0,3600.050003051758,0.0292272275886973
26,ftv64,64,F5,9730.999849804157,91.69597053527832,0.0
27,ftv70,70,F3,11949.5,3600.078996658325,0.02324365036193983
28,ftv70,70,F4,11950.5,3600.0970096588135,0.023806535291410403
29,ftv70,70,F5,10269.5,104.84499740600586,0.0
